"","Group.1","Group.2","x","Sex"
"1",1,"Around",1.27333333333333,"M"
"2",4,"Around",17.3354166666667,"M"
"3",7,"Around",24.9820512820513,"M"
"4",12,"Around",30.55,"M"
"5",15,"Around",32.6450980392157,"M"
"6",20,"Around",60.5563492063492,"M"
"7",23,"Around",70.2166666666667,"M"
"8",26,"Around",77.1402298850575,"M"
"9",2,"Enter",1.35,"M"
"10",5,"Enter",17.5733333333333,"M"
"11",8,"Enter",25.05,"M"
"12",10,"Enter",27.8987179487179,"M"
"13",13,"Enter",30.6015151515152,"M"
"14",16,"Enter",32.8936507936508,"M"
"15",18,"Enter",48.2714285714286,"M"
"16",21,"Enter",60.6527777777778,"M"
"17",24,"Enter",70.2511111111111,"M"
"18",27,"Enter",77.25,"M"
"19",29,"Enter",88.7651515151515,"M"
"20",31,"Enter",94.0876543209877,"M"
"21",3,"Exit",3.48333333333333,"M"
"22",6,"Exit",21.5,"M"
"23",9,"Exit",25.25,"M"
"24",11,"Exit",28.3,"M"
"25",14,"Exit",30.7958333333333,"M"
"26",17,"Exit",33.4166666666667,"M"
"27",19,"Exit",51.6166666666667,"M"
"28",22,"Exit",62.4833333333333,"M"
"29",25,"Exit",72.85,"M"
"30",28,"Exit",77.6,"M"
"31",30,"Exit",89.1333333333333,"M"
"32",32,"Exit",94.3,"M"
"33",1,"Around",3.33380952380952,"F"
"34",6,"Around",21.4188405797101,"F"
"35",19,"Around",51.5657894736842,"F"
"36",22,"Around",62.3357142857143,"F"
"37",25,"Around",72.8037878787879,"F"
"38",30,"Around",88.6560606060606,"F"
"39",2,"Enter",3.50333333333333,"F"
"40",4,"Enter",3.91944444444444,"F"
"41",7,"Enter",21.525,"F"
"42",9,"Enter",23.1333333333333,"F"
"43",11,"Enter",25.8866666666667,"F"
"44",13,"Enter",31.7350574712644,"F"
"45",15,"Enter",34.8993055555556,"F"
"46",17,"Enter",43.4027777777778,"F"
"47",20,"Enter",51.6555555555556,"F"
"48",23,"Enter",62.5066666666667,"F"
"49",26,"Enter",72.8740740740741,"F"
"50",28,"Enter",79.7916666666667,"F"
"51",31,"Enter",92.6333333333333,"F"
"52",3,"Exit",3.66666666666667,"F"
"53",5,"Exit",17.55,"F"
"54",8,"Exit",22.9,"F"
"55",10,"Exit",24.9833333333333,"F"
"56",12,"Exit",30.5166666666667,"F"
"57",14,"Exit",32.8166666666667,"F"
"58",16,"Exit",35.6666666666667,"F"
"59",18,"Exit",48.15,"F"
"60",21,"Exit",60.5833333333333,"F"
"61",24,"Exit",70.1666666666667,"F"
"62",27,"Exit",77.2266666666667,"F"
"63",29,"Exit",87.3333333333333,"F"
"64",32,"Exit",93.9333333333333,"F"
